team,played,win_rate,avg_gf,avg_ga
Taiwan,240,0.2833333333333333,1.3208333333333333,2.475
Tajikistan,194,0.37628865979381443,1.4484536082474226,1.407216494845361
Tamil Eelam,25,0.52,2.44,2.4
Tanzania,587,0.27597955706984667,1.10221465076661,1.494037478705281
Thailand,855,0.3894736842105263,1.5988304093567252,1.487719298245614
Tibet,19,0.05263157894736842,1.368421052631579,5.842105263157895
Ticino,2,0.0,1.0,6.5
Timor-Leste,82,0.0975609756097561,0.8292682926829268,3.317073170731707
Togo,439,0.3143507972665148,1.0979498861047836,1.396355353075171
Tonga,68,0.23529411764705882,1.1911764705882353,3.7205882352941178
Trinidad and Tobago,737,0.43283582089552236,1.694708276797829,1.3202170963364994
Tunisia,658,0.43617021276595747,1.4300911854103344,1.0167173252279635
Turkey,630,0.3968253968253968,1.384126984126984,1.4111111111111112
Turkmenistan,171,0.3567251461988304,1.5029239766081872,1.5321637426900585
Turks and Caicos Islands,50,0.22,0.96,3.68
Tuvalu,39,0.20512820512820512,1.1538461538461537,5.333333333333333
Two Sicilies,6,0.16666666666666666,0.5,3.0
Uganda,674,0.4169139465875371,1.5074183976261128,1.1735905044510386
Ukraine,326,0.44785276073619634,1.3987730061349692,1.0337423312883436
United Arab Emirates,599,0.4040066777963272,1.4207011686143574,1.2420701168614356
United Koreans in Japan,12,0.25,1.6666666666666667,0.9166666666666666
United States,772,0.4430051813471503,1.5129533678756477,1.3199481865284974
United States Virgin Islands,74,0.10810810810810811,0.5945945945945946,3.918918918918919
Uruguay,960,0.44166666666666665,1.5875,1.2177083333333334
Uzbekistan,343,0.48104956268221577,1.7463556851311954,1.1224489795918366
Vanuatu,210,0.3142857142857143,1.880952380952381,2.1714285714285713
Vatican City,8,0.0,0.75,2.625
Venezuela,449,0.2516703786191537,1.046770601336303,1.8685968819599108
Vietnam,292,0.4246575342465753,1.643835616438356,1.3732876712328768
Vietnam Republic,195,0.4205128205128205,1.8666666666666667,1.6
Wales,714,0.32212885154061627,1.2450980392156863,1.5994397759103642
Wallis Islands and Futuna,24,0.20833333333333334,0.9583333333333334,4.541666666666667
West Papua,2,0.0,1.5,4.5
Western Armenia,16,0.3125,2.125,1.25
Western Australia,32,0.34375,1.96875,2.34375
Western Isles,32,0.40625,1.5,2.28125
Western Sahara,9,0.2222222222222222,1.7777777777777777,4.222222222222222
Yemen,261,0.19157088122605365,0.9080459770114943,2.1915708812260535
Yemen DPR,25,0.2,1.0,2.76
Ynys Môn,65,0.5384615384615384,1.8923076923076922,1.476923076923077
Yorkshire,7,0.7142857142857143,3.857142857142857,1.5714285714285714
Yoruba Nation,2,0.0,0.5,1.0
Yugoslavia,483,0.4616977225672878,1.950310559006211,1.565217391304348
Zambia,784,0.45535714285714285,1.5676020408163265,1.0625
